BHK,Rent,Size,Floor/Total,Floor,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
2,32000,750,3 out of 7,3,"Shree Sai Usha Complex, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2
2,45000,730,5 out of 17,5,"Raheja Heights, Malad East",Mumbai,Unfurnished,Family,2
2,50000,750,10 out of 20,10,"Hillcrest, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2
1,18500,229,5 out of 9,5,Vile Parle,Mumbai,Semi-Furnished,Bachelors/Family,1
2,51000,910,10 out of 19,10,"Rivali Park, Borivali East",Mumbai,Unfurnished,Bachelors,2
4,140000,1648,21 out of 58,21,"Sheth Auris Serinity, Malad West",Mumbai,Semi-Furnished,Bachelors/Family,5
3,80000,1100,48 out of 54,48,"Alpine Shapoorji Pallonji, Thakur Village, Kandivali East",Mumbai,Unfurnished,Family,3
1,30000,560,2 out of 4,2,Ghatkopar East,Mumbai,Unfurnished,Bachelors,2
2,85000,850,4 out of 6,4,Andheri West,Mumbai,Unfurnished,Bachelors/Family,2
1,15000,450,2 out of 4,2,Dahisar East,Mumbai,Unfurnished,Family,1
2,50000,820,7 out of 28,7,"Raheja Heights, BMC Colony Malad East",Mumbai,Semi-Furnished,Bachelors/Family,2
2,60000,750,10 out of 20,10,"Tridhaatu Bhaveshwar Vilas, Central Avenue Road",Mumbai,Unfurnished,Bachelors/Family,2
1,23000,410,4 out of 7,4,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,Unfurnished,Bachelors/Family,1
1,14500,490,12 out of 20,12,Ketki Pada,Mumbai,Unfurnished,Bachelors/Family,2
2,40000,700,11 out of 15,11,Collector Colony,Mumbai,Unfurnished,Bachelors/Family,2
5,650000,3000,8 out of 10,8,Khar West,Mumbai,Semi-Furnished,Bachelors/Family,5
1,80000,560,1 out of 7,1,Waterfield Road,Mumbai,Furnished,Bachelors/Family,1
2,55000,650,8 out of 18,8,"White Lily Apartment, Bhandup East",Mumbai,Unfurnished,Bachelors/Family,2
1,12000,520,2 out of 3,2,in Mira Road,Mumbai,Semi-Furnished,Bachelors/Family,1
2,45000,850,9 out of 12,9,"Eco Residency, Andheri East",Mumbai,Unfurnished,Bachelors/Family,2
2,90000,777,19 out of 22,19,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,Furnished,Bachelors/Family,2
2,43000,771,15 out of 37,15,"Kalpataru Crest, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2
1,22000,400,3 out of 7,3,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,Unfurnished,Bachelors/Family,1
2,20000,600,7 out of 7,7,"Marigold-5, Beverly Park",Mumbai,Furnished,Family,2
1,26000,390,Upper Basement out of 7,Upper,"Greenfields CHS, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2
4,850000,3200,2 out of 4,2,Breach Candy,Mumbai,Furnished,Bachelors/Family,4
1,34999,450,5 out of 12,5,"HDIL Premier Residences, Kurla West",Mumbai,Furnished,Bachelors/Family,2
1,35000,500,7 out of 23,7,Powai,Mumbai,Semi-Furnished,Bachelors/Family,2
1,50000,410,6 out of 12,6,Dadar East,Mumbai,Semi-Furnished,Bachelors/Family,1
1,16000,160,2 out of 3,2,Lal Baug,Mumbai,Unfurnished,Bachelors/Family,1
2,55000,750,10 out of 14,10,Chandivali,Mumbai,Unfurnished,Bachelors/Family,2
1,39000,585,3 out of 7,3,"Chanchal Kalyan Complex, Yari Road",Mumbai,Unfurnished,Family,2
3,100000,1300,12 out of 24,12,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,Family,3
1,25000,350,2 out of 17,2,Ghatla,Mumbai,Furnished,Bachelors/Family,1
1,25000,490,3 out of 7,3,Kandivali East,Mumbai,Semi-Furnished,Bachelors/Family,2
2,49500,650,5 out of 16,5,Juhu Versova Link Road,Mumbai,Unfurnished,Family,2
1,21000,225,6 out of 24,6,Lower Parel,Mumbai,Unfurnished,Bachelors/Family,1
2,110000,850,5 out of 13,5,Pali Hill,Mumbai,Semi-Furnished,Bachelors/Family,2
1,21000,385,Ground out of 5,Ground,in Santacruz East,Mumbai,Unfurnished,Bachelors/Family,1
2,46700,800,2 out of 7,2,"Milap CHS, Seven Bungalows",Mumbai,Unfurnished,Family,2
4,400000,2500,5 out of 12,5,Bandra West,Mumbai,Furnished,Bachelors/Family,4
4,280000,1526,76 out of 78,76,"Lodha Marquise, Worli",Mumbai,Semi-Furnished,Bachelors/Family,5
1,18000,300,3 out of 10,3,Kurla West,Mumbai,Unfurnished,Bachelors/Family,1
3,80000,1800,10 out of 13,10,"Sabari Palm View, Chembur",Mumbai,Semi-Furnished,Bachelors/Family,3
2,88000,800,5 out of 20,5,"Kanakia Paris, Bandra Kurla Complex",Mumbai,Semi-Furnished,Bachelors/Family,2
3,90000,890,20 out of 27,20,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,Furnished,Family,2
2,38000,700,14 out of 23,14,"Sky Villa, Gokuldham",Mumbai,Unfurnished,Bachelors/Family,2
1,20000,465,3 out of 4,3,in Borivali East,Mumbai,Semi-Furnished,Bachelors,1
2,140000,900,8 out of 36,8,"Marathon Next Gen Era, Lower Parel",Mumbai,Furnished,Family,2
3,78000,1073,8 out of 20,8,"Raheja Ridgewood, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,3
1,21000,450,4 out of 7,4,Chembur,Mumbai,Unfurnished,Bachelors/Family,1
3,95000,1350,8 out of 16,8,"Rajesh Raj Classic, Yari Road",Mumbai,Furnished,Bachelors/Family,3
2,90000,800,5 out of 8,5,"Band Stand, Bandra Band Stand",Mumbai,Furnished,Bachelors/Family,2
2,34000,600,4 out of 7,4,"Shiv Dham Apartment, Goregaon East",Mumbai,Unfurnished,Bachelors,2
2,55000,650,5 out of 15,5,Sion Trombay Road,Mumbai,Unfurnished,Bachelors/Family,2
2,52000,550,3 out of 3,3,Dadar East,Mumbai,Furnished,Bachelors,2
1,74999,840,8 out of 17,8,"Celestia Spaces, Balkrishna Dadu Karade Chowk",Mumbai,Unfurnished,Bachelors/Family,2
3,75000,1121,30 out of 45,30,"DB Woods, Gokuldham",Mumbai,Furnished,Bachelors/Family,2
2,45000,650,2 out of 12,2,"Swastik Pride, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2
1,22000,575,14 out of 14,14,Kanjurmarg East,Mumbai,Unfurnished,Bachelors/Family,1
1,32000,475,3 out of 4,3,Andheri East,Mumbai,Furnished,Bachelors/Family,1
2,34000,830,9 out of 21,9,"Indraprastha CHS, Bhayandar East",Mumbai,Semi-Furnished,Bachelors/Family,2
3,170000,1337,28 out of 30,28,"Oberoi Splendor Grande, Agarkar Chowk",Mumbai,Semi-Furnished,Bachelors/Family,3
1,23000,420,5 out of 7,5,"Spring Leaf, Lokhandwala Twp",Mumbai,Semi-Furnished,Bachelors/Family,2
1,20000,310,Ground out of 7,Ground,Malad West,Mumbai,Unfurnished,Bachelors,1
3,350000,1800,2 out of 12,2,Khar West,Mumbai,Furnished,Family,4
3,90000,967,14 out of 33,14,"Romell Aether, Goregaon East",Mumbai,Furnished,Bachelors/Family,3
1,55000,505,4 out of 12,4,"Godrej The Trees, Vikhroli East",Mumbai,Semi-Furnished,Bachelors/Family,1
1,15000,275,3 out of 7,3,Borivali East,Mumbai,Unfurnished,Bachelors/Family,1
2,22000,640,21 out of 21,21,Mahajan Wadi,Mumbai,Semi-Furnished,Family,2
3,60000,1500,10 out of 23,10,Film City,Mumbai,Semi-Furnished,Bachelors/Family,3
2,49000,850,10 out of 23,10,"Lakshchandi Height, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2
2,34000,900,12 out of 25,12,"Challenger Tower, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,2
1,24000,430,6 out of 7,6,"Bhoomi Elegant, Thakur Complex",Mumbai,Furnished,Bachelors/Family,2
4,270000,1649,18 out of 29,18,"Adani Western Heights, Andheri West",Mumbai,Semi-Furnished,Family,3
3,69000,1100,12 out of 24,12,Chandivali,Mumbai,Unfurnished,Bachelors/Family,3
3,120000,1200,14 out of 35,14,Worli,Mumbai,Semi-Furnished,Bachelors/Family,3
2,32000,680,5 out of 20,5,"Galassia, Kandarpada",Mumbai,Unfurnished,Family,2
2,24000,600,5 out of 7,5,Charkop,Mumbai,Semi-Furnished,Bachelors,2
4,100000,1560,12 out of 19,12,"diamond garden, Chembur",Mumbai,Unfurnished,Bachelors/Family,4
5,600000,4500,7 out of 20,7,Bandra West,Mumbai,Furnished,Bachelors,5
2,45000,771,20 out of 37,20,"Kalpataru Crest, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2
2,80000,800,7 out of 22,7,"Hiranandani Castle Rock, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2
2,37000,800,5 out of 14,5,"Mayuresh Srishti, Bhandup West",Mumbai,Semi-Furnished,Bachelors,2
3,210000,1425,9 out of 35,9,"The Primordial House, Kemps Corner",Mumbai,Furnished,Bachelors,4
4,190000,1750,5 out of 17,5,"Godrej The Trees, Pirojshah Nagar",Mumbai,Semi-Furnished,Bachelors/Family,4
1,25000,475,11 out of 15,11,Ghatkopar East,Mumbai,Unfurnished,Bachelors,2
4,210000,2000,27 out of 27,27,Vikhroli,Mumbai,Unfurnished,Bachelors,5
3,200000,1375,15 out of 60,15,"Raheja Imperia, Worli",Mumbai,Semi-Furnished,Family,3
5,310000,2800,19 out of 33,19,"MidCity Shikhar, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,5
1,26000,650,1 out of 3,1,Srinagarchs chembur west near sankralyammandir,Mumbai,Semi-Furnished,Bachelors/Family,1
2,27000,600,18 out of 20,18,"Royal Palms, Goregaon East",Mumbai,Unfurnished,Bachelors,2
1,26000,649,3 out of 3,3,"Uttam Society, Chembur",Mumbai,Unfurnished,Bachelors/Family,1
2,60000,950,2 out of 8,2,"Green Woods Chkala, Andheri East",Mumbai,Furnished,Bachelors,2
1,12000,225,7 out of 7,7,Ashok Van,Mumbai,Unfurnished,Family,1
2,180000,1000,6 out of 10,6,Malabar Hill,Mumbai,Furnished,Bachelors/Family,2
1,30000,330,13 out of 40,13,Malad East,Mumbai,Furnished,Family,1
3,100000,1200,8 out of 14,8,Khar West,Mumbai,Furnished,Bachelors/Family,3
3,140000,1270,15 out of 60,15,"Lodha Azzuro , Parel",Mumbai,Semi-Furnished,Bachelors,3
3,70000,920,14 out of 21,14,"Safal Twins, Chembur",Mumbai,Unfurnished,Bachelors/Family,3
2,20000,630,4 out of 22,4,"SK Imperial Heights, Mira Road East",Mumbai,Unfurnished,Family,2
2,22000,670,4 out of 12,4,"Prathamesh Heritage, Beverly Park",Mumbai,Furnished,Family,2
1,32000,450,1 out of 5,1,Andheri West,Mumbai,Furnished,Bachelors/Family,1
1,20000,265,6 out of 7,6,Mazgaon,Mumbai,Unfurnished,Bachelors/Family,1
2,50000,600,9 out of 11,9,"K Raheja Maple Leaf, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2
2,29000,670,7 out of 7,7,Amar Nagar,Mumbai,Unfurnished,Family,2
2,45000,650,10 out of 18,10,Chandivali,Mumbai,Semi-Furnished,Bachelors/Family,2
1,6500,422,9 out of 15,9,Nalasopara West,Mumbai,Semi-Furnished,Family,2
2,55000,955,8 out of 22,8,"MJ Shah Centrio, Chembur",Mumbai,Unfurnished,Bachelors/Family,2
3,69999,1100,6 out of 13,6,Kurla,Mumbai,Furnished,Bachelors/Family,3
1,18500,300,3 out of 4,3,JL Tambe Nagar,Mumbai,Unfurnished,Bachelors,1
2,50000,900,5 out of 17,5,"Dheeraj Valley Tower, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2
2,45000,785,2 out of 7,2,Chakala,Mumbai,Unfurnished,Bachelors,2
3,85000,1350,20 out of 31,20,"HDIL Metropolis, 4 Bunglows",Mumbai,Furnished,Family,3
2,85000,900,27 out of 45,27,"Ruparel Ariana, Parel",Mumbai,Semi-Furnished,Bachelors/Family,2
1,25000,400,18 out of 23,18,Worli,Mumbai,Unfurnished,Bachelors,1
2,75000,800,19 out of 20,19,"Sethia Grandeur, Bandra East",Mumbai,Semi-Furnished,Bachelors,3
2,190000,895,32 out of 46,32,"Indiabulls Blu, Worli",Mumbai,Semi-Furnished,Bachelors/Family,2
1,20000,625,10 out of 12,10,Dahisar East,Mumbai,Semi-Furnished,Bachelors/Family,1
2,30000,720,5 out of 14,5,"Samarth Garden, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2
2,75000,750,4 out of 13,4,"Utkarsh CHS, Prabhadevi",Mumbai,Furnished,Bachelors/Family,2
3,350000,1663,19 out of 85,19,"Indiabulls Blu, Worli Naka Acharaya Atre Chowk",Mumbai,Semi-Furnished,Bachelors/Family,2
2,70000,660,Ground out of 6,Ground,Azad Nagar Colaba,Mumbai,Semi-Furnished,Bachelors/Family,2
2,32000,700,Ground out of 7,Ground,"MUKTA MAHEK, Thakur Complex",Mumbai,Furnished,Bachelors/Family,2
1,22000,377,3 out of 23,3,"Srishti Elegance, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2
2,35000,650,5 out of 6,5,Thakur Complex,Mumbai,Semi-Furnished,Family,2
2,47000,650,5 out of 7,5,"117 Residency, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2
4,400000,2080,34 out of 46,34,"Indiabulls Blu, Worli",Mumbai,Semi-Furnished,Bachelors/Family,5
2,31000,700,2 out of 8,2,"Sai Aasha Daya, Mulund East",Mumbai,Semi-Furnished,Bachelors/Family,2
1,60000,430,1 out of 7,1,Bandra West,Mumbai,Furnished,Bachelors/Family,1
2,58000,650,15 out of 24,15,"L&T Emerald Isle, Powai",Mumbai,Unfurnished,Family,2
3,85000,890,4 out of 27,4,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,Furnished,Bachelors/Family,2
2,45000,965,19 out of 27,19,Bhakti Park,Mumbai,Unfurnished,Bachelors/Family,2
1,7500,630,3 out of 12,3,"Sumit Greendale, Chikhal Dongari",Mumbai,Semi-Furnished,Bachelors/Family,2
4,250000,2100,35 out of 60,35,"Bombay Dyeing Two ICC, Dadar East",Mumbai,Semi-Furnished,Bachelors/Family,4
3,150000,1100,9 out of 16,9,"Badrinath Tower, Amit Nagar",Mumbai,Furnished,Family,3
2,80000,730,4 out of 6,4,Perry Rd,Mumbai,Semi-Furnished,Bachelors/Family,2
3,75000,1380,9 out of 22,9,"Thakur Jewel, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,3
3,66000,1100,17 out of 22,17,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,3
1,45000,450,5 out of 7,5,Mahim West,Mumbai,Semi-Furnished,Bachelors,1
1,22000,500,3 out of 4,3,"Madhugiri Society, Chembur",Mumbai,Unfurnished,Bachelors/Family,1
3,65000,1100,9 out of 20,9,"Raheja Heights, Malad East",Mumbai,Semi-Furnished,Bachelors,3
3,55000,868,9 out of 21,9,"Orchid Suburbia, Bander Pakhadi",Mumbai,Unfurnished,Family,3
2,55000,750,6 out of 15,6,"Omkar Meridia, Bandra Kurla Complex",Mumbai,Semi-Furnished,Bachelors/Family,2
1,36000,540,2 out of 3,2,in Mahim West,Mumbai,Unfurnished,Bachelors/Family,2
4,230000,2100,21 out of 33,21,"Hiranandani Gardens Odyssey I, Hiranandani Gardens",Mumbai,Furnished,Family,5
1,22000,450,4 out of 7,4,Charkop Sector 6,Mumbai,Semi-Furnished,Family,2
3,170000,1600,25 out of 52,25,"Crescent Bay Callisto, Parel",Mumbai,Semi-Furnished,Family,4
1,34000,560,3 out of 7,3,Serenity Complex,Mumbai,Semi-Furnished,Bachelors,2
1,45000,500,2 out of 3,2,"Irla, Vile Parle West",Mumbai,Unfurnished,Bachelors,1
1,14000,305,2 out of 24,2,Kandivali West,Mumbai,Unfurnished,Bachelors/Family,1
3,75000,970,1 out of 3,1,"Paras Building, Sion East",Mumbai,Furnished,Bachelors/Family,2
1,7000,480,4 out of 4,4,Taloja Phase 2,Mumbai,Unfurnished,Bachelors/Family,1
2,55000,720,1 out of 6,1,"diamond garden, Chembur East",Mumbai,Semi-Furnished,Bachelors/Family,2
2,55000,950,7 out of 10,7,"Valentine Apartments, Gokuldham",Mumbai,Semi-Furnished,Family,2
4,700000,3200,24 out of 24,24,"Lady Ratan Tower, Worli",Mumbai,Furnished,Bachelors/Family,4
3,140000,1450,18 out of 33,18,"Hiranandani Gardens Torino, Hiranandani Gardens",Mumbai,Furnished,Family,3
2,42000,774,10 out of 20,10,"Lokhandwala Octacrest, Lokhandwala Twp",Mumbai,Semi-Furnished,Family,2
1,27000,450,2 out of 3,2,Andheri West,Mumbai,Unfurnished,Family,1
3,60000,1000,1 out of 10,1,Malad West,Mumbai,Semi-Furnished,Bachelors,3
1,17000,340,1 out of 8,1,Goregaon East,Mumbai,Semi-Furnished,Bachelors/Family,1
1,30000,430,14 out of 23,14,"Sindhi Society, Chembur",Mumbai,Semi-Furnished,Bachelors/Family,2
2,45000,722,4 out of 7,4,"Alpine Apartments, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2
3,90000,1152,12 out of 21,12,"Kabra Metro One, Seven Bungalows",Mumbai,Furnished,Bachelors/Family,2
1,25000,641,3 out of 8,3,Borivali West,Mumbai,Unfurnished,Bachelors/Family,1
2,70000,810,4 out of 11,4,"Vintage Pearl Apartment, Bandra West",Mumbai,Furnished,Bachelors/Family,2
2,90000,800,5 out of 6,5,Vile Parle West,Mumbai,Furnished,Family,2
2,110000,875,12 out of 14,12,Bandra West,Mumbai,Unfurnished,Bachelors/Family,2
2,20000,700,8 out of 22,8,"Man Opus, Mira Road",Mumbai,Unfurnished,Family,2
1,35000,420,Ground out of 3,Ground,in Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,1
3,80000,1400,1 out of 2,1,Ghatkopar,Mumbai,Furnished,Bachelors/Family,3
2,54500,758,12 out of 24,12,"L&T Emerald Isle, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2
4,350000,2880,45 out of 60,45,"Lodha World Crest, Lower Parel",Mumbai,Unfurnished,Bachelors,5
1,45000,480,7 out of 7,7,Seven Bungalows,Mumbai,Furnished,Bachelors/Family,2
1,38000,550,6 out of 10,6,Sion East,Mumbai,Unfurnished,Bachelors,2
2,90000,900,60 out of 71,60,"Lodha Venezia, Parel",Mumbai,Semi-Furnished,Bachelors,2
1,22000,400,8 out of 22,8,Bhoiwada,Mumbai,Unfurnished,Bachelors/Family,1
2,70000,760,9 out of 22,9,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2
4,380000,2800,36 out of 81,36,"World One Tower Mumbai, Worli",Mumbai,Unfurnished,Bachelors,5
1,50000,400,10 out of 22,10,"Hiranandani Regent Hill, Hiranandani Gardens",Mumbai,Semi-Furnished,Bachelors/Family,1
4,680000,1962,18 out of 20,18,Khar West,Mumbai,Semi-Furnished,Bachelors/Family,5
3,140000,1100,6 out of 12,6,Waterfield Road,Mumbai,Semi-Furnished,Bachelors/Family,3
2,40000,800,1 out of 3,1,in Borivali West,Mumbai,Semi-Furnished,Bachelors/Family,2
2,32000,590,7 out of 12,7,"Saaga Mrunali CHS, Shantivan",Mumbai,Unfurnished,Family,2
2,78000,600,14 out of 22,14,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,2
4,280000,2500,24 out of 60,24,"Bombay Dyeing Two ICC, Dadar TT Circle",Mumbai,Semi-Furnished,Bachelors/Family,6
2,45000,670,17 out of 22,17,Chembur,Mumbai,Unfurnished,Bachelors/Family,2
2,65000,960,16 out of 38,16,"Dosti Ambrosia, Wadala East",Mumbai,Semi-Furnished,Bachelors/Family,2
2,65000,1500,4 out of 4,4,in Sion,Mumbai,Semi-Furnished,Bachelors/Family,3
1,35000,500,1 out of 5,1,Ghatkopar West,Mumbai,Semi-Furnished,Bachelors/Family,1
3,90000,1120,8 out of 45,8,"DB Woods, Gokuldham",Mumbai,Furnished,Family,2
4,250000,2729,20 out of 27,20,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,Bachelors,5
3,70000,3354,Ground out of 16,Ground,Talagatta Pura,Bangalore,Furnished,Bachelors/Family,3
2,10500,800,3 out of 4,3,Nagappa Reddy layout-Dooravani Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2
2,13000,1000,Ground out of 4,Ground,"Kattigenahalli, Bellary Road",Bangalore,Semi-Furnished,Bachelors/Family,2
2,17000,1040,4 out of 4,4,C V Raman Nagar,Bangalore,Furnished,Bachelors/Family,2
3,21000,1403,1 out of 4,1,"Chikkalasandra, Bangalore",Bangalore,Semi-Furnished,Bachelors/Family,3
2,10000,600,3 out of 4,3,Talaghattapura,Bangalore,Furnished,Bachelors/Family,1
4,61500,2608,1 out of 4,1,Malleshwaram,Bangalore,Semi-Furnished,Bachelors,3
2,13000,850,1 out of 3,1,"Ramaiah Layout, Kacharakanahalli",Bangalore,Semi-Furnished,Family,2
1,7500,400,1 out of 2,1,Rajajinagar,Bangalore,Unfurnished,Bachelors/Family,1
2,17000,1000,3 out of 4,3,Padmanabha Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2
3,25000,1350,5 out of 14,5,Kengeri Main Road,Bangalore,Semi-Furnished,Bachelors,3
2,10500,800,1 out of 2,1,Ramamurthy Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2
1,8000,350,3 out of 3,3,Thanisandra,Bangalore,Semi-Furnished,Bachelors/Family,1
1,9500,900,Ground out of 2,Ground,J P Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1
3,50000,2000,1 out of 2,1,Bannerghatta Main Road,Bangalore,Semi-Furnished,Bachelors/Family,3
2,13000,700,1 out of 4,1,"Vinayakanagar, Hebbal",Bangalore,Semi-Furnished,Bachelors/Family,2
1,13500,600,1 out of 4,1,venkatapuram,Bangalore,Semi-Furnished,Bachelors/Family,1
2,13000,700,Ground out of 1,Ground,"Vv Nagar, Bikasipura",Bangalore,Semi-Furnished,Bachelors/Family,1
1,15000,600,2 out of 4,2,C V Raman Nagar,Bangalore,Semi-Furnished,Bachelors,1
2,15000,1400,Ground out of 1,Ground,Ramamurthy Nagar,Bangalore,Furnished,Bachelors/Family,3
1,7000,600,Ground out of 3,Ground,Kacharakanahalli,Bangalore,Unfurnished,Bachelors/Family,1
2,25000,770,8 out of 32,8,Tumkur Road,Bangalore,Furnished,Bachelors/Family,2
2,17000,900,1 out of 2,1,Babusahib Palya,Bangalore,Semi-Furnished,Family,2
1,7500,500,Ground out of 3,Ground,"Kumaraswamy Layout, Kumaraswamy Layout",Bangalore,Furnished,Bachelors/Family,1
2,15000,1100,1 out of 2,1,Nri Layout,Bangalore,Unfurnished,Bachelors/Family,2
1,7500,500,1 out of 2,1,"Balaji Layout -Hongasandra, Hongasandra",Bangalore,Semi-Furnished,Bachelors/Family,1
3,25000,1260,Ground out of 2,Ground,Vijaya Bank Layout,Bangalore,Furnished,Bachelors/Family,3
3,54000,1750,2 out of 4,2,"Jaya Nagar Block 1, Jayanagar",Bangalore,Semi-Furnished,Bachelors/Family,3
1,14500,600,1 out of 3,1,Maruthi Sevanagar,Bangalore,Semi-Furnished,Bachelors,1
1,4500,450,Ground out of 3,Ground,Nelamangala,Bangalore,Semi-Furnished,Bachelors/Family,1
2,10500,800,3 out of 4,3,Yelahanka New Town,Bangalore,Semi-Furnished,Bachelors/Family,1
1,5500,400,Ground out of 2,Ground,Hongasandra,Bangalore,Unfurnished,Bachelors/Family,1
2,16000,600,1 out of 2,1,Girinagar,Bangalore,Unfurnished,Bachelors,2
1,7000,400,Ground out of 2,Ground,T Dasarahalli,Bangalore,Unfurnished,Bachelors/Family,1
2,12500,900,Ground out of 3,Ground,Ramamurthy Nagar,Bangalore,Furnished,Bachelors/Family,2
2,10000,1200,Ground out of 4,Ground,Jogupalya,Bangalore,Semi-Furnished,Bachelors/Family,1
2,18000,1045,1 out of 2,1,Maruthi Sevanagar,Bangalore,Semi-Furnished,Bachelors,2
3,28000,1021,10 out of 10,10,"Balaji Gardens Layout, Gottigere",Bangalore,Furnished,Bachelors,3
3,12000,1200,Ground out of 4,Ground,in Bannerghatta Road,Bangalore,Unfurnished,Bachelors/Family,2
2,13000,1000,1 out of 3,1,"Electronic City Phase 2, Electronic City",Bangalore,Unfurnished,Bachelors/Family,1
2,50000,1280,2 out of 12,2,Hebbal,Bangalore,Furnished,Bachelors/Family,2
1,7000,450,1 out of 2,1,Jalahalli East,Bangalore,Semi-Furnished,Bachelors/Family,1
2,30000,450,2 out of 3,2,"Garebhavipalya, Hongasandra, Hosur Road",Bangalore,Unfurnished,Bachelors/Family,2
1,10000,600,3 out of 4,3,Btm Layout Stage 4,Bangalore,Semi-Furnished,Bachelors/Family,2
2,15000,800,2 out of 3,2,Konanakunte,Bangalore,Semi-Furnished,Bachelors/Family,2
1,7500,500,2 out of 4,2,Basaveshwar Nagar,Bangalore,Unfurnished,Bachelors/Family,1
3,45000,1680,7 out of 19,7,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,3
3,65000,2000,23 out of 40,23,Hebbal,Bangalore,Semi-Furnished,Bachelors,3
1,12000,500,1 out of 4,1,Koramangala Block 4,Bangalore,Semi-Furnished,Bachelors,1
1,7000,500,2 out of 2,2,"Aecs Layout-Singasandra, Singasandra, Hosur Road",Bangalore,Semi-Furnished,Bachelors,1
1,9000,800,2 out of 3,2,Mahadevapura,Bangalore,Unfurnished,Bachelors/Family,1
2,23000,1100,2 out of 3,2,Banaswadi,Bangalore,Semi-Furnished,Family,2
2,30000,1200,3 out of 4,3,"Kalasipalyam, Kalasipalyam",Bangalore,Semi-Furnished,Bachelors/Family,2
1,8000,500,2 out of 3,2,"Tilak Nagar, Jayanagar, bannerghatta main Road",Bangalore,Unfurnished,Bachelors/Family,1
2,16000,1155,3 out of 4,3,K R Puram,Bangalore,Semi-Furnished,Family,2
1,7500,440,3 out of 4,3,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,1
2,20000,1040,1 out of 7,1,Sarjapur Road,Bangalore,Semi-Furnished,Bachelors/Family,2
4,110000,2900,7 out of 18,7,whitefield,Bangalore,Furnished,Bachelors,4
3,30000,1200,1 out of 2,1,Nagondanahalli,Bangalore,Semi-Furnished,Bachelors/Family,2
3,20000,1600,2 out of 3,2,"Isro Layout, Kumaraswamy Layout",Bangalore,Semi-Furnished,Family,3
4,84000,3150,8 out of 19,8,Banashankari,Bangalore,Unfurnished,Bachelors,4
2,17000,1000,2 out of 4,2,JAR Shikara,Bangalore,Semi-Furnished,Bachelors/Family,2
2,15000,1200,1 out of 2,1,Medahalli,Bangalore,Semi-Furnished,Bachelors/Family,2
1,6000,400,4 out of 5,4,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,1
2,16000,950,1 out of 1,1,Ramamurthy Nagar,Bangalore,Furnished,Bachelors/Family,3
2,9500,530,1 out of 3,1,Byatarayanapura,Bangalore,Semi-Furnished,Bachelors/Family,1
1,8000,300,Ground out of 2,Ground,"Udayanagar Extension, Mahadevapura",Bangalore,Unfurnished,Bachelors/Family,1
2,15000,1000,Ground out of 3,Ground,"Dwarka Nagar, Kattigenahalli",Bangalore,Semi-Furnished,Bachelors/Family,2
1,12000,450,3 out of 3,3,Btm Layout,Bangalore,Unfurnished,Bachelors/Family,1
1,10000,600,Ground out of 1,Ground,"Jeevan Bima Nagar, Airport Road",Bangalore,Semi-Furnished,Bachelors,1
2,16000,1100,2 out of 4,2,"Jaya Nagar Block 7, Jayanagar",Bangalore,Unfurnished,Bachelors/Family,2
